count,date,title,description,org_link,link
13,2024-02-15 09:29:00,"효성인포-에이플랫폼, 생성 AI 워크로드 혁신 협력 강화","위한 <b>데이터</b> 레이크하우스 전략’ 주제 발표를 진행한다. 이 행사에서는 벡터 DB로서의 혁신적 기능을 출시한 ‘싱글스토어 Pro Max’ 소개를 비롯, 싱글스토어DB의 탁월한 <b>보안</b> 기능과 국제 인증, 포스코DX 고객 사례... ",https://zdnet.co.kr/view/?no=20240215092802,https://n.news.naver.com/mnews/article/092/0002321345?sid=105
14,2024-02-15 09:26:00,"델, AI 위해 워크스테이션 도입 50% 증가","6%), ‘학습 <b>데이터</b> 준비 및 가공’(25.0%) 순으로 나타났다. 이는 지난해 ‘AI 모델 트레이닝’(4.3%)과... 확장성과 <b>보안</b> 역량을 갖춘 제품군으로 델 테크놀로지스는 기업들이 워크스테이션을 통해 비즈니스 가치를... ",https://www.ddaily.co.kr/page/view/2024021509242878591,https://n.news.naver.com/mnews/article/138/0002166842?sid=105
15,2024-02-15 09:18:00,"효성인포-에이플랫폼, 생성형 AI 워크로드 혁신 위한 협력 강화","위한 <b>데이터</b> 레이크하우스 전략' 주제 발표를 진행한다. 벡터 DB로서의 혁신적 기능을 출시한 '싱글스토어 Pro Max' 소개를 비롯해 싱글스토어DB의 <b>보안</b> 기능과 국제 인증, 포스코DX 고객 사례 등 혁신 전략이 공유된다.... ",https://www.epnc.co.kr/news/articleView.html?idxno=240714,https://www.epnc.co.kr/news/articleView.html?idxno=240714
16,2024-02-15 09:14:00,"효성인포메이션시스템, 에이플랫폼과 생성형 AI 워크로드 협력 강화","에이플랫폼과 <b>데이터</b> 레이크하우스 구현 및 생성형 AI 워크로드 혁신을 위한 협력을 강화할 계획이라고 15일 밝혔다. 이번 행사는 싱글스토어DB의 <b>보안</b> 기능, 국제 인증, 포스코DX 고객사례 등 싱글스토어DB... ",https://it.chosun.com/news/articleView.html?idxno=2023092110240,https://it.chosun.com/news/articleView.html?idxno=2023092110240
17,2024-02-15 09:12:00,"미소정보기술, 의료·산업 초거대 AI 대응 ‘비(非)라벨링 <b>데이터</b> 솔루션’ 출...","문서 <b>보안</b>이 강화된 패브릭 기반 멀티모달 <b>데이터</b> 플랫폼 ‘스마트빅(smart BIG)’을 통해 LLM, sLLM 구축 시 고도화된 언어처리 기술을 원스톱으로 제공한다. 사측은 현재 초거대 AI에 필요한 ‘비라벨링(텍스트) <b>데이터</b>’... ",http://digitalchosun.dizzo.com/site/data/html_dir/2024/02/15/2024021580022.html,http://digitalchosun.dizzo.com/site/data/html_dir/2024/02/15/2024021580022.html
18,2024-02-15 09:10:00,"미소정보기술,의료·산업 생성형 초거대AI 비(非)라벨링 <b>데이터</b> 솔루션 '데이...","문서 <b>보안</b>이 강화된 패브릭기반 멀티모달 <b>데이터</b> 플랫폼 '스마트빅(smart BIG)'을 통해 LLM, sLLM구축시 고도화된 언어처리 기술을 원스톱으로 제공한다. '<b>데이터</b>스캔'의 생성형AI분야는 일상생활과 직결되는... ",https://www.getnews.co.kr/news/articleView.html?idxno=661165,https://www.getnews.co.kr/news/articleView.html?idxno=661165
19,2024-02-15 09:08:00,"효성인포메이션시스템-에이플랫폼, 생성형AI 워크로드 혁신 위한 협력 강화","위한 <b>데이터</b> 레이크하우스 전략' 주제 발표를 진행한다. 이 행사에서는 벡터 DB로서의 혁신적 기능을 출시한 '싱글스토어 프로 맥스(Pro Max)' 소개를 비롯, 싱글스토어DB의 탁월한 <b>보안</b> 기능과 국제 인증, 포스코DX... ",http://www.it-b.co.kr/news/articleView.html?idxno=73707,http://www.it-b.co.kr/news/articleView.html?idxno=73707
20,2024-02-15 09:06:00,"서울테크노파크,고려대 융합<b>보안</b>대학원, 기업 디지털전환(DX) 지원,<b>보안</b> 분야...",서울TP 윤종욱 원장은 &quot;선도형 스마트공장 구축지원 사업을 통해 기업의 디지털 전환이 가속화 됨에 따라 <b>데이터 보안</b>의 중요성이 증가하고 있다.&quot;며 &quot;이번 고려대학교 융합보안대학원과 업무협약을 통해 보다 안전한... ,https://www.cctvnews.co.kr/news/articleView.html?idxno=236804,https://www.cctvnews.co.kr/news/articleView.html?idxno=236804
21,2024-02-15 09:04:00,"효성인포-에이플랫폼, 생성형AI 워크로드 혁신 위해 협력","위한 <b>데이터</b> 레이크하우스 전략' 주제 발표를 진행한다. 이 행사에서는 벡터 DB로서의 혁신적 기능을 출시한 '싱글스토어 Pro Max' 소개를 비롯해 싱글스토어DB의 탁월한 <b>보안</b> 기능과 국제 인증, 포스코DX 고객 사례... ",https://www.hellot.net/news/article.html?no=86799,https://www.hellot.net/news/article.html?no=86799
22,2024-02-15 08:56:00,"효성인포-에이플랫폼, 생성형AI 워크로드 혁신 위한 협력 강화","위한 <b>데이터</b> 레이크하우스 전략' 주제 발표를 진행한다. 이 행사에서는 벡터 DB로서의 혁신적 기능을 출시한 '싱글스토어 Pro Max' 소개를 비롯, 싱글스토어DB의 탁월한 <b>보안</b> 기능과 국제 인증, 포스코DX 고객 사례 등... ",http://www.koit.co.kr/news/articleView.html?idxno=120547,http://www.koit.co.kr/news/articleView.html?idxno=120547
